pair_name,direction,route_rank,start_label,end_label,success,best_cost,distance_m,distance_km,travel_time_s,nofly_hits,outside_hits,overlap_ratio,overlap_nodes,overlap_samples,repeat_penalty,smooth_penalty,path_nodes,sampled_nodes,runtime_s,message
DB02_to_DK02,forward,1,DB02,DK02,True,10804.231905323506,4415.783495258068,4.415783495258068,188.44841006543788,0,0,0.0,0,0,62,0.0,108,170,7.3930978580001465,OK
DB02_to_DK02,forward,2,DB02,DK02,True,10944.074589123162,4538.4961144212475,4.538496114421248,205.57847470191462,0,0,0.07017543859649122,8,11,62,0.0,114,176,8.388326142000551,OK
DB02_to_DK02,forward,3,DB02,DK02,True,11004.308403360123,4605.185301173616,4.6051853011736155,199.12310218650754,0,0,0.05982905982905983,7,9,62,0.0,117,179,8.649618949000796,OK
DB02_to_DK02,forward,4,DB02,DK02,True,11786.7737210743,4674.050855417059,4.674050855417059,212.72286565723928,0,0,0.017543859649122806,2,3,69,0.0,114,183,8.939272333999725,OK
DB02_to_DK02,forward,5,DB02,DK02,True,11304.294112748008,4770.716660559805,4.770716660559805,233.57745218820367,0,0,0.09016393442622951,11,16,63,0.0,122,185,9.297386467000251,OK
DB02_to_DK02,forward,6,DB02,DK02,True,11514.431026372062,4554.270795295171,4.554270795295172,182.4406006963249,0,0,0.09821428571428571,11,18,65,11.108785215222596,112,177,9.501160752000033,OK
DB02_to_DK02,forward,7,DB02,DK02,True,12673.6440791153,5176.320127605127,5.176320127605127,297.3239515101722,0,0,0.06976744186046512,9,13,72,0.0,129,201,10.06902089200048,OK
DB02_to_DK02,forward,8,DB02,DK02,True,11875.700448429809,4885.9810618921265,4.885981061892126,228.2436408210589,0,0,0.09016393442622951,11,15,67,2.4590298286649244,122,189,10.0225041650001,OK
DB02_to_DK02,forward,9,DB02,DK02,True,15766.837902993564,6078.40715106479,6.07840715106479,368.0224959936876,0,0,0.09333333333333334,14,24,90,12.816330237403498,150,240,11.27404368399948,OK
DB02_to_DK02,forward,10,DB02,DK02,True,13879.700377937066,5245.194568880357,5.245194568880357,285.15771832847406,0,0,0.08148148148148149,11,18,70,53.97392362912939,135,205,11.076682558999892,OK
DB02_to_DK02,backward,1,DK02,DB02,True,19556.696834104383,6450.50301871893,6.450503018718931,330.2880027270278,0,0,0.09933774834437085,15,28,102,103.03623250633696,151,253,12.178410397000334,OK
DB02_to_DK02,backward,2,DK02,DB02,True,14342.476745260892,5558.201613929352,5.558201613929352,265.21845272570647,0,0,0.07352941176470588,10,14,80,20.76226714423335,136,216,11.711425266999868,OK
DB02_to_DK02,backward,3,DK02,DB02,True,6316825.240539141,5980.282879074397,5.980282879074397,362.05098237152754,0,0,0.19402985074626866,26,55,101,15.316267107798168,134,235,12.137557862999529,OK | WARNING: overlap_ratio=0.194 exceeds MAX_OVERLAP_RATIO=0.100.
DB02_to_DK02,backward,4,DK02,DB02,True,12477.481362687904,4829.491722492848,4.829491722492848,208.56099621642133,0,0,0.09482758620689655,11,18,72,9.577145759145388,116,188,11.480408178999824,OK
DB02_to_DK02,backward,5,DK02,DB02,True,31220138.976948135,5751.231520830677,5.751231520830677,283.98671458950116,0,0,0.22580645161290322,28,56,102,156.15034850878766,124,226,12.182348496000486,OK | WARNING: overlap_ratio=0.226 exceeds MAX_OVERLAP_RATIO=0.100.
DB02_to_DK02,backward,6,DK02,DB02,True,15347.731833774287,5287.182215584112,5.287182215584112,240.11259774907336,0,0,0.1,12,22,86,48.81748081764408,120,206,12.79304313099965,OK
DB02_to_DK02,backward,7,DK02,DB02,True,45919798.27171975,5885.417472709802,5.885417472709801,341.2596978144087,0,0,0.1796875,23,57,102,134.86378196893452,128,230,12.779388478000328,OK | WARNING: overlap_ratio=0.180 exceeds MAX_OVERLAP_RATIO=0.100.
DB02_to_DK02,backward,8,DK02,DB02,True,20220050.036223892,6197.308613083767,6.197308613083767,254.7662778878341,0,0,0.17266187050359713,24,50,104,127.91845331680756,139,243,13.263089183000375,OK | WARNING: overlap_ratio=0.173 exceeds MAX_OVERLAP_RATIO=0.100.
DB02_to_DK02,backward,9,DK02,DB02,True,26015291.926195342,5165.005726235672,5.165005726235672,272.13555940696597,0,0,0.21818181818181817,24,47,92,26.191396388067304,110,202,12.45450602999972,OK | WARNING: overlap_ratio=0.218 exceeds MAX_OVERLAP_RATIO=0.100.
DB02_to_DK02,backward,10,DK02,DB02,True,39016373.6690241,4663.05072024644,4.6630507202464395,183.0875836275106,0,0,0.2857142857142857,30,57,78,149.10122880943612,105,183,12.13706699299928,OK | WARNING: overlap_ratio=0.286 exceeds MAX_OVERLAP_RATIO=0.100.
