scope,layer,title,feature_count,status,point_count,line_count,polygon_count,other_geom_count,height_min_m,height_max_m,z_max_agl_max_m,height_source,voxel_role,use_now,note
bbox,power_lines,Power lines / cables,361,available,0,361,0,0,0.0,35.0,35.0,assumed_power_line;assumed_power_minor_line;assumed_underground_or_cable_not_air_obstacle,hard obstacle if overhead; cable may be underground,yes_with_height_assumption,Use power=line/minor_line as UAV obstacle; check cable location before blocking.
bbox,power_substations,Power substations / transformers / switchgear,89,available,38,0,51,0,8.0,8.0,8.0,assumed_power_substation,hard obstacle / restricted infrastructure risk,yes_with_height_assumption,Important infrastructure; block structure volume or use as high-risk buffer.
bbox,power_supports,Power towers / poles / portals / terminals,3145,available,3145,0,0,0,10.0,35.0,35.0,assumed_power_pole;assumed_power_tower;osm_height,hard obstacle,yes_with_height_assumption,Good point obstacle layer; height commonly missing.
bbox,power_plants_generators,Power plants / generators,53,available,1,0,52,0,12.0,128.0,128.0,assumed_power_generator;assumed_power_plant;osm_height,hard obstacle / high-risk infrastructure,yes_with_height_assumption,Use as infrastructure footprint; actual height varies by facility.
bbox,solar_generation,Solar generation,50,available,0,0,50,0,3.0,3.0,3.0,assumed_solar_generation,low structure obstacle / land-use risk,yes_low_altitude,Usually low height but can occupy large areas.
bbox,telecom_masts_towers,Telecom / communication masts and towers,119,available,113,0,6,0,18.0,250.0,250.0,assumed_telecom_mast;assumed_telecom_tower;osm_height,hard obstacle,yes_with_height_assumption,Very important vertical obstacle layer for UAV flight.
bbox,telecom_facilities,Telecom facilities,7,available,2,0,5,0,15.0,15.0,15.0,assumed_telecom_facility,hard obstacle if mast/tower; otherwise soft infrastructure risk,check_geometry_first,Tags are inconsistent; inspect before voxel blocking.
bbox,pipelines,Pipelines,1,available,0,1,0,0,0.0,0.0,0.0,usually_underground_not_air_obstacle,usually not air obstacle; operational risk / construction corridor,soft_risk_or_ignore_for_air_obstacle,Most pipelines are underground; do not hard-block UAV airspace unless exposed/elevated.
bbox,oil_gas_facilities,Oil / gas facilities,0,missing_or_not_mapped_in_area,0,0,0,0,,,,none,high-risk infrastructure / possible hard obstacle footprint,yes_as_restricted_or_high_risk_buffer,Use conservative buffer; feature meaning can vary.
bbox,water_infrastructure,Water infrastructure,178,available,6,0,172,0,10.0,25.0,25.0,assumed_water_facility;assumed_water_tower;assumed_water_works,hard obstacle if tower/tank; otherwise soft infrastructure risk,yes_for_towers_check_others,Water towers are hard obstacles; underground water/sewer pipelines are not air obstacles.
hoalac,power_lines,Power lines / cables,15,available,0,15,0,0,35.0,35.0,35.0,assumed_power_line,hard obstacle if overhead; cable may be underground,yes_with_height_assumption,Use power=line/minor_line as UAV obstacle; check cable location before blocking.
hoalac,power_substations,Power substations / transformers / switchgear,5,available,3,0,2,0,8.0,8.0,8.0,assumed_power_substation,hard obstacle / restricted infrastructure risk,yes_with_height_assumption,Important infrastructure; block structure volume or use as high-risk buffer.
hoalac,power_supports,Power towers / poles / portals / terminals,52,available,52,0,0,0,35.0,35.0,35.0,assumed_power_tower,hard obstacle,yes_with_height_assumption,Good point obstacle layer; height commonly missing.
hoalac,power_plants_generators,Power plants / generators,2,available,0,0,2,0,20.0,20.0,20.0,assumed_power_plant,hard obstacle / high-risk infrastructure,yes_with_height_assumption,Use as infrastructure footprint; actual height varies by facility.
hoalac,solar_generation,Solar generation,2,available,0,0,2,0,3.0,3.0,3.0,assumed_solar_generation,low structure obstacle / land-use risk,yes_low_altitude,Usually low height but can occupy large areas.
hoalac,telecom_masts_towers,Telecom / communication masts and towers,0,missing_or_not_mapped_in_area,0,0,0,0,,,,none,hard obstacle,yes_with_height_assumption,Very important vertical obstacle layer for UAV flight.
hoalac,telecom_facilities,Telecom facilities,2,available,0,0,2,0,15.0,15.0,15.0,assumed_telecom_facility,hard obstacle if mast/tower; otherwise soft infrastructure risk,check_geometry_first,Tags are inconsistent; inspect before voxel blocking.
hoalac,pipelines,Pipelines,0,missing_or_not_mapped_in_area,0,0,0,0,,,,none,usually not air obstacle; operational risk / construction corridor,soft_risk_or_ignore_for_air_obstacle,Most pipelines are underground; do not hard-block UAV airspace unless exposed/elevated.
hoalac,oil_gas_facilities,Oil / gas facilities,0,missing_or_not_mapped_in_area,0,0,0,0,,,,none,high-risk infrastructure / possible hard obstacle footprint,yes_as_restricted_or_high_risk_buffer,Use conservative buffer; feature meaning can vary.
hoalac,water_infrastructure,Water infrastructure,2,available,0,0,2,0,10.0,10.0,10.0,assumed_water_works,hard obstacle if tower/tank; otherwise soft infrastructure risk,yes_for_towers_check_others,Water towers are hard obstacles; underground water/sewer pipelines are not air obstacles.
