layer_name,status,required,file_count,total_size_bytes,total_size_human,inspected_feature_or_row_count,detected_height_agl_columns,destination_subdir,voxel_role,note,copied_files,inspection_notes
metadata_aoi,available,False,7,590324,576.5 KB,7,,metadata,AOI / clipping boundary,Study-area polygon and metadata used for checking extent and clipping.,metadata/study_area_aoi.gpkg;metadata/study_area_aoi.geojson;metadata/hoalac_polygon.gpkg;metadata/opencellid__hoalac_polygon.gpkg;metadata/openinframap__hoalac_polygon.gpkg;metadata/opentopography__hoalac_polygon.gpkg;metadata/osm__hoalac_polygon.gpkg,geometry=Polygon | geometry=Polygon | geometry=Polygon | geometry=Polygon | geometry=Polygon | geometry=Polygon | geometry=Polygon
osm_powerlines_agl,available,True,4,212950,208.0 KB,240,height_m;height_source;z_max_agl_m;z_min_agl_m,osm/powerlines,hard linear obstacle; use z_min_agl_m / z_max_agl_m if present,"Power line/cable geometry. Height is often assumed, so check AGL columns before using.",osm/powerlines/powerlines_hoalac_clipped.gpkg;osm/powerlines/powerlines_vertices_hoalac.xyz;osm/powerlines/power_lines_hoalac.gpkg;osm/powerlines/power_lines_hoalac.xyz,geometry=LineString | tabular_rows=73 | geometry=LineString | tabular_rows=139
osm_power_poles_towers_agl,available,True,4,208724,203.8 KB,204,height;height_m;height_source;z_max_agl_m;z_min_agl_m,osm/power_poles_towers,hard point/vertical obstacle; use height_m / z_max_agl_m if present,"Power poles and towers. If no true height exists, use assumed height with low confidence.",osm/power_poles_towers/power_towers_poles_hoalac_clipped.gpkg;osm/power_poles_towers/power_towers_poles_points_hoalac.xyz;osm/power_poles_towers/power_supports_hoalac.gpkg;osm/power_poles_towers/power_supports_hoalac.xyz,geometry=Point | tabular_rows=50 | geometry=Point | tabular_rows=52
osm_road_centerline,available,True,4,1931530,1.8 MB,38113,maxheight,osm/roads,road centerline / soft risk / road-crossing reference,"Roads are usually not hard aerial obstacles, but useful for population/traffic/road-crossing risk.",osm/roads/roads_hoalac_clipped.gpkg;osm/roads/roads_vertices_hoalac.xyz;osm/roads/roads_points_hoalac.xyz;osm/roads/roads_points_hoalac.csv,geometry=MultiLineString | tabular_rows=10468 | tabular_rows=13171 | tabular_rows=13236
osm_traffic_lights_agl,available,True,2,98460,96.2 KB,8,height_m,osm/traffic_lights,low-altitude point obstacle near landing/takeoff; use height_m if present,Traffic lights are important mostly for low-altitude landing/takeoff corridors.,osm/traffic_lights/traffic_lights_hoalac_clipped.gpkg;osm/traffic_lights/traffic_lights_points_hoalac.xyz,geometry=Point | tabular_rows=4
osm_street_lamps_agl_optional,available,False,2,98304,96.0 KB,,height_m,osm/street_lamps,optional low-altitude point obstacle; use height_m if present,Street lamps are optional but useful around takeoff/landing corridors if downloaded.,osm/street_lamps/street_lamps_hoalac_clipped.gpkg;osm/street_lamps/street_lamps_points_hoalac.xyz,geometry= | inspection_failed: No columns to parse from file
obm_building_optional,missing_optional,False,0,0,0.0 B,,,obm,optional building footprint/height cross-check,Optional OpenBuildingMap source used only for building-height comparison if available.,,
gba_building_footprint_height,available,True,5,12386065,11.8 MB,29789,height;height_m,gba,hard polygon obstacle; building footprint + building height,Primary building obstacle source. Use footprint polygons and height/LoD1 attributes.,gba/hoalac_polygon.gpkg;gba/gba_lod1_buildings_hoalac_clipped.gpkg;gba/gba_lod1_buildings_centroid_hoalac.xyz;gba/gba_lod1_buildings_centroid_hoalac_with_info.xyz;gba/gba_lod1_buildings_vertices_hoalac.xyz,geometry=Polygon | geometry=Polygon | tabular_rows=14894 | inspection_failed: No columns to parse from file | inspection_failed: No columns to parse from file
opencellid_communication_soft_risk,available,False,23,1081479,1.0 MB,1,range_m,opencellid,soft communication risk/support; not a hard obstacle,"OpenCelliD cells/range/support/risk grids clipped to Hoa Lac. Use as soft cost, not hard obstacle.",opencellid/opencellid_cells_hoalac.gpkg;opencellid/opencellid_cells_hoalac.csv;opencellid/opencellid_range_circles_hoalac.gpkg;opencellid/communication_support_grid_hoalac.gpkg;opencellid/communication_support_grid_hoalac.csv;opencellid/communication_risk_grid_hoalac.xyz;opencellid/communication_support_grid_hoalac.xyz;opencellid/opencellid_cdma_cells_hoalac.xyz;opencellid/opencellid_cells_hoalac.xyz;opencellid/opencellid_gsm_cells_hoalac.xyz;opencellid/opencellid_lte_cells_hoalac.xyz;opencellid/opencellid_nbiot_cells_hoalac.xyz;opencellid/opencellid_nr_cells_hoalac.xyz;opencellid/opencellid_umts_cells_hoalac.xyz;opencellid/opencellid_unknown_cells_hoalac.xyz;opencellid/opencellid_cdma_cells_hoalac.gpkg;opencellid/opencellid_gsm_cells_hoalac.gpkg;opencellid/opencellid_lte_cells_hoalac.gpkg;opencellid/opencellid_nbiot_cells_hoalac.gpkg;opencellid/opencellid_nr_cells_hoalac.gpkg;opencellid/opencellid_umts_cells_hoalac.gpkg;opencellid/opencellid_unknown_cells_hoalac.gpkg;opencellid/hoalac_polygon.gpkg,geometry= | tabular_rows=0 | geometry= | geometry= | tabular_rows=0 | inspection_failed: No columns to parse from file | inspection_failed: No columns to parse from file | inspection_failed: No columns to parse from file
otp_dem_elevation,available,True,3,1445915,1.4 MB,31755,,opentopography,terrain/elevation base for AGL calculation,DEM/elevation source. For AGL: height_agl = z_voxel - dem_elevation.,opentopography/COP30_hoalac_clipped.tif;opentopography/COP30_elevation_m.tif;opentopography/COP30_elevation_hoalac.xyz,raster_band_1_stats | raster_band_1_stats | tabular_rows=31755
