area_id,area_ix,area_iy,n_model_nodes,n_candidate_pool_nodes,area_density_sum,area_density_mean,area_density_max,area_candidate_hit_max,is_active_area,area_density_norm,area_quota,minor_area_selected_count
0_0,0,0,400,0,1.0,0.0025,1.0,0.0,0,0.00034423407917383823,0,0
0_1,0,1,400,127,1783.0,4.4575,103.0,6.0,1,0.6137693631669535,1,1
0_2,0,2,400,48,985.0,2.4625,30.0,6.0,1,0.33907056798623064,1,1
0_3,0,3,400,5,1192.0,2.98,35.0,6.0,1,0.4103270223752151,1,1
0_4,0,4,400,96,2516.0,6.29,118.0,6.0,1,0.866092943201377,1,1
0_5,0,5,20,7,22.0,1.1,4.0,4.0,1,0.007573149741824441,1,1
1_0,1,0,400,4,19.0,0.0475,2.0,2.0,1,0.006540447504302926,1,1
1_1,1,1,400,131,1735.0,4.3375,112.0,6.0,1,0.5972461273666093,1,1
1_2,1,2,400,76,2199.0,5.4975,37.0,6.0,1,0.7569707401032703,1,1
1_3,1,3,400,69,2291.0,5.7275,30.0,6.0,1,0.7886402753872633,1,1
1_4,1,4,400,170,2905.0,7.2625,112.0,6.0,1,1.0,2,2
1_5,1,5,20,20,53.0,2.65,4.0,4.0,1,0.018244406196213425,1,1
2_0,2,0,400,53,248.0,0.62,5.0,5.0,1,0.08537005163511188,1,1
2_1,2,1,400,119,567.0,1.4175,10.0,6.0,1,0.19518072289156627,1,1
2_2,2,2,400,157,1690.0,4.225,15.0,6.0,1,0.5817555938037866,1,1
2_3,2,3,400,258,2118.0,5.295,114.0,6.0,1,0.7290877796901893,1,1
2_4,2,4,400,230,1547.0,3.8675,14.0,6.0,1,0.5325301204819277,1,1
2_5,2,5,20,13,26.0,1.3,2.0,2.0,1,0.008950086058519793,1,1
3_0,3,0,400,65,284.0,0.71,5.0,5.0,1,0.09776247848537005,1,1
3_1,3,1,400,138,842.0,2.105,12.0,6.0,1,0.28984509466437175,1,1
3_2,3,2,400,132,1297.0,3.2425,14.0,6.0,1,0.44647160068846814,1,1
3_3,3,3,400,131,603.0,1.5075,9.0,6.0,1,0.20757314974182445,1,1
3_4,3,4,400,103,807.0,2.0175,111.0,6.0,1,0.27779690189328743,1,1
3_5,3,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_0,4,0,400,45,185.0,0.4625,6.0,6.0,1,0.06368330464716007,1,1
4_1,4,1,400,57,1033.0,2.5825,110.0,6.0,1,0.35559380378657485,1,1
4_2,4,2,400,12,328.0,0.82,9.0,6.0,1,0.11290877796901894,1,1
4_3,4,3,400,0,21.0,0.0525,1.0,0.0,0,0.007228915662650603,0,0
4_4,4,4,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_5,4,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_0,5,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_1,5,1,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_2,5,2,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_3,5,3,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_4,5,4,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_5,5,5,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
